####################################################################################################
# ACE v0.9d+ Filelists                                                                             #
####################################################################################################
# Format:                                                                                          #
# <Whitelist identifier>                                                                           #
# <FileName><TAB>+<FileSize><TAB>+<MD5 Hash><TAB>+<File Identifier><TAB>+<Hacked>?                 #
# <FileName><TAB>+<FileSize><TAB>+<MD5 Hash><TAB>+<File Identifier><TAB>+<Hacked>?                 #
# <Signature>                                                                                      #
#                                                                                                  #
# Guidelines:                                                                                      #
# > Values must be separated by one or more tabs (hence: <TAB>+)                                   #
# > <FileSize> = -1 => All sizes allowed                                                           #
# > <MD5 Hash> = x  => All hashes allowed                                                          #
# > The <Hacked> value is optional                                                                 #
# > Empty lines are ignored                                                                        #
# > Anything behind a '#' char is ignored                                                          #
#                                                                                                  #
####################################################################################################
ACE_20241228_A

##################################################################################################################################
# Filename              Size            MD5 Hash                                Identifier                              Hacked?  #
##################################################################################################################################
ACEV10_C.DLL			588288			7FB72E30530C5C89053004D0D7F9B7EC		ACE v1.0 for UT
ACEV10_C.DLL			587264			2FAA0173F40A80BBD63C80EBCC8CB72A		ACE v1.0 for UT
ACEV10_C.U				25139			62E357D34F819A7A94B7F5E20FFF487A		ACE v1.0 for UT
ACEV11B_C.DLL			620032			65B909E8CB9A6C0AC65AB7374879A6B5		ACE v1.1b for UT
ACEV11B_C.DLL			620032			7BF9E17668644E02F8475D1B43FF85E6		ACE v1.1b for UT
ACEV11B_C.DLL			619008			C960730403EB8B8ECC88564F3F5B810D		ACE v1.1b for UT
ACEV11B_C.U				20031			C5AA55B70A076734FD6A86B91F8ED19A		ACE v1.1b for UT
ACEV11C_C.DLL			619520			32CCD01127003568BB34BA16CB45EB28		ACE v1.1c for UEngine 1
ACEV11C_C.DLL			619520			D9E61007F4A26281EA5BCBA0892D9236		ACE v1.1c for UEngine 1
ACEV11C_C.DLL			619008			7BA06D15BD19331DEAF27E66D60B9EC4		ACE v1.1c for UEngine 1
ACEV11C_C.U				20031			A0B603D0A09EE7D7830216FD6B5505F8		ACE v1.1c for UEngine 1
ACEV11D_C.DLL			619008			EC505EC7182C49D6605F79FB21782EB7		ACE v1.1d for UEngine 1
ACEV11D_C.DLL			619008			5A1CC7773D6477092D87A93D7F2EDDED		ACE v1.1d for UEngine 1
ACEV11D_C.DLL			618496			88A096D2F3EDE80F46AF8EC4F3F3F15F		ACE v1.1d for UEngine 1
ACEV11D_C.U				20716			C745FF67C0C67EC43C54382778106FB8		ACE v1.1d for UEngine 1
ACEV11E_C.DLL			645120			7FAB5D75939E9D7829FF81C82B3481FF		ACE v1.1e for UEngine 1
ACEV11E_C.U				21528			3628DE2CF0AD5B8E716C9C1976DDB1E1		ACE v1.1e for UEngine 1
ACEV11F_C.DLL			644096			62074499BE71B6A6F640A00EF64C0205		ACE v1.1f for UEngine 1
ACEV11F_C.DLL			644096			2C1EA5A5F9BEC0E44FB37B465180AC19		ACE v1.1f for UEngine 1
ACEV11F_C.DLL			644096			786FD306038251372519FC6950601E89		ACE v1.1f for UEngine 1
ACEV11F_C.DLL			644096			a280e520bae05aaf974516d86d28bdb3		ACE v1.1f for UEngine 1 - Internal Error 6 fix
ACEV11F_C.U				21528			B3D23EA7CE3528312419781C32AE2E54		ACE v1.1f for UEngine 1
ACEV12A_C.DLL			644096			5C2DF05730FBCBC453257EF39E77C8E1		ACE v1.2a for UEngine 1
ACEV12A_C.DLL			644096			4D40EEA0EBA403A2611898FC6B3EF6E1		ACE v1.2a for UEngine 1
ACEV12A_C.DLL			644096			36984B214F6BA45AFF3E5F95247C5F47		ACE v1.2a for UEngine 1
ACEV12A_C.U				21529			F6B73562308EF14D660FD1847694A3A5		ACE v1.2a for UEngine 1
ACEV12B_C.DLL			644096			FE7F91BDA393B91723E4A990393D8698		ACE v1.2b for UEngine 1
ACEV12B_C.DLL			644096			53371AEC58449F924C2185F0E4EB1C18		ACE v1.2b for UEngine 1
ACEV12B_C.DLL			644096			DFA16F3C919AB7C2AE6897DAF805DC00		ACE v1.2b for UEngine 1
ACEV12B_C.U				21529			9B2376CA6897680D9828C377EAAA990C		ACE v1.2b for UEngine 1
ACEV12C_C.DLL			659968			E23E9BA6CE459D6F0243FCB198E11DBF		ACE v1.2c for UEngine 1
ACEV12C_C.DLL			659968			330576371F075AEFA2358ABBC4BA0A1C		ACE v1.2c for UEngine 1
ACEV12C_C.DLL			659968			CFD7CA9CD8CC1EB884E62C06A2C6B414		ACE v1.2c for UEngine 1
